Opened,Date,Product,Christmas,Chinese NY,Weeknum
08/03/2022 01:17:22,08/03/2022,SP4,NO,NO,11
08/03/2022 01:20:17,08/03/2022,SP4,NO,NO,11
21/03/2022 17:27:28,21/03/2022,SP4,NO,NO,13
21/03/2022 17:41:25,21/03/2022,SP4,NO,NO,13
31/03/2022 07:52:41,31/03/2022,SP4,NO,NO,14
27/04/2022 20:00:45,27/04/2022,SP4,NO,NO,18
17/05/2022 21:06:14,17/05/2022,SP4,NO,NO,21
15/06/2022 14:12:38,15/06/2022,SP4,NO,NO,25
01/04/2022 06:31:46,01/04/2022,SP4,NO,NO,14
02/03/2022 04:07:09,02/03/2022,SP4,NO,NO,10
04/03/2022 09:58:50,04/03/2022,SP4,NO,NO,10
25/04/2022 07:32:40,25/04/2022,SP4,NO,NO,18
25/04/2022 08:12:50,25/04/2022,SP4,NO,NO,18
25/04/2022 08:25:18,25/04/2022,SP4,NO,NO,18
31/01/2022 12:08:50,31/01/2022,SP4,NO,YES,6
31/01/2022 12:08:55,31/01/2022,SP4,NO,YES,6
13/10/2021 13:26:28,13/10/2021,SP4,NO,NO,42
22/02/2022 10:17:11,22/02/2022,SP4,NO,NO,9
21/09/2021 10:59:57,21/09/2021,SP4,NO,NO,39
25/04/2022 12:50:37,25/04/2022,SP4,NO,NO,18
28/10/2021 13:30:32,28/10/2021,SP4,NO,NO,44
24/03/2022 23:23:04,24/03/2022,SP4,NO,NO,13
08/02/2022 04:30:43,08/02/2022,SP4,NO,NO,7
08/02/2022 10:30:43,08/02/2022,SP4,NO,NO,7
16/02/2022 13:30:35,16/02/2022,SP4,NO,NO,8
24/02/2022 05:40:34,24/02/2022,SP4,NO,NO,9
26/02/2022 05:20:31,26/02/2022,SP4,NO,NO,9
18/03/2022 18:51:25,18/03/2022,SP4,NO,NO,12
01/02/2022 19:00:34,01/02/2022,SP4,NO,YES,6
10/02/2022 00:00:32,10/02/2022,SP4,NO,NO,7
18/10/2021 09:22:22,18/10/2021,SP4,NO,NO,43
16/03/2022 11:01:09,16/03/2022,SP4,NO,NO,12
03/06/2022 13:42:21,03/06/2022,SP4,NO,NO,23
03/06/2022 13:52:10,03/06/2022,SP4,NO,NO,23
08/06/2022 06:41:35,08/06/2022,SP4,NO,NO,24
06/01/2022 01:05:10,06/01/2022,SP4,NO,NO,2
24/08/2021 14:00:14,24/08/2021,SP4,NO,NO,35
09/09/2021 09:59:42,09/09/2021,SP4,NO,NO,37
17/11/2021 16:07:41,17/11/2021,SP4,NO,NO,47
13/06/2022 15:26:44,13/06/2022,SP4,NO,NO,25
09/12/2021 20:17:55,09/12/2021,SP4,NO,NO,50
27/01/2022 10:31:48,27/01/2022,SP4,NO,NO,5
01/03/2022 10:03:19,01/03/2022,SP4,NO,NO,10
15/06/2022 14:05:59,15/06/2022,SP4,NO,NO,25
18/03/2022 20:53:12,18/03/2022,SP4,NO,NO,12
07/12/2021 16:17:50,07/12/2021,SP4,NO,NO,50
04/11/2021 07:57:26,04/11/2021,SP4,NO,NO,45
11/03/2022 12:09:29,11/03/2022,SP4,NO,NO,11
30/11/2021 02:35:39,30/11/2021,SP4,NO,NO,49
22/09/2021 09:04:57,22/09/2021,SP4,NO,NO,39
30/11/2021 07:24:24,30/11/2021,SP4,NO,NO,49
08/12/2021 09:00:06,08/12/2021,SP4,NO,NO,50
11/10/2021 11:10:28,11/10/2021,SP4,NO,NO,42
11/04/2022 12:27:38,11/04/2022,SP4,NO,NO,16
18/10/2021 09:31:39,18/10/2021,SP4,NO,NO,43
23/11/2021 19:07:18,23/11/2021,SP4,NO,NO,48
30/11/2021 13:41:42,30/11/2021,SP4,NO,NO,49
20/01/2022 13:41:00,20/01/2022,SP4,NO,NO,4
25/01/2022 06:31:03,25/01/2022,SP4,NO,NO,5
01/02/2022 09:30:53,01/02/2022,SP4,NO,YES,6
07/02/2022 16:21:26,07/02/2022,SP4,NO,NO,7
14/02/2022 20:50:41,14/02/2022,SP4,NO,NO,8
04/01/2022 10:07:58,04/01/2022,SP4,YES,NO,2
14/09/2021 19:23:21,14/09/2021,SP4,NO,NO,38
19/01/2022 12:24:27,19/01/2022,SP4,NO,NO,4
30/11/2021 05:58:25,30/11/2021,SP4,NO,NO,49
30/11/2021 06:17:44,30/11/2021,SP4,NO,NO,49
